1	2297	0.0350494
2	1899	0.0289764
3	1525	0.0232697
4	1156	0.0176392
5	909	0.0138702
6	700	0.0106812
7	592	0.0090332
8	445	0.00679016
9	349	0.00532532
10	256	0.00390625
11	214	0.00326538
12	183	0.00279236
13	146	0.00222778
14	100	0.00152588
15	106	0.00161743
16	63	0.000961304
17	49	0.000747681
18	38	0.000579834
19	28	0.000427246
20	22	0.000335693
21	16	0.000244141
22	13	0.000198364
23	10	0.000152588
24	7	0.000106812
25	15	0.000228882
26	5	7.62939e-05
27	3	4.57764e-05
28	2	3.05176e-05
29	3	4.57764e-05
30	1	1.52588e-05
31	2	3.05176e-05
32	2	3.05176e-05
33	0	0
34	0	0
35	1	1.52588e-05
36	0	0
37	0	0
38	1	1.52588e-05
39	0	0
40	0	0
41	0	0
42	0	0
43	1	1.52588e-05
