1	34087	0.0325079
2	27157	0.0258989
3	21616	0.0206146
4	17088	0.0162964
5	13680	0.0130463
6	11186	0.0106678
7	8774	0.00836754
8	6917	0.00659657
9	5633	0.00537205
10	4562	0.00435066
11	3607	0.0034399
12	2861	0.00272846
13	2236	0.00213242
14	1849	0.00176334
15	1450	0.00138283
16	1199	0.00114346
17	945	0.000901222
18	750	0.000715256
19	615	0.00058651
20	489	0.000466347
21	398	0.000379562
22	314	0.000299454
23	247	0.000235558
24	183	0.000174522
25	172	0.000164032
26	121	0.000115395
27	96	9.15527e-05
28	73	6.96182e-05
29	58	5.53131e-05
30	30	2.86102e-05
31	48	4.57764e-05
32	48	4.57764e-05
33	24	2.28882e-05
34	19	1.81198e-05
35	18	1.71661e-05
36	6	5.72205e-06
37	13	1.23978e-05
38	9	8.58307e-06
39	5	4.76837e-06
40	10	9.53674e-06
41	1	9.53674e-07
42	6	5.72205e-06
43	0	0
44	2	1.90735e-06
45	2	1.90735e-06
46	2	1.90735e-06
47	0	0
48	0	0
49	0	0
50	1	9.53674e-07
